gene	GSM1483739	GSM1483740	128-cell-1	128-cell-2	1k-cell-1	1k-cell-2	1-cell-1	1-cell-2
ENSDARG00000090192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090194	12.560235	39.623383	45.749825	42.148877	46.032395	40.176794	23.479207	26.325972
ENSDARG00000090195	0.0	0.0	24.678679	23.608552	22.955904	23.506537	5.119931	4.706259
ENSDARG00000090198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090202	0.0	0.0	6.826712	3.900735	12.872748	4.552212	10.711207	2.743148
ENSDARG00000090213	39.788521	0.0	53.307509	69.246933	60.900881	56.938905	18.681334	20.727198
ENSDARG00000090214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090219	19.159977	0.0	10.250964	7.276508	7.868546	9.452978	5.115482	5.563643
ENSDARG00000090223	2.717619	0.0	22.357096	23.109401	25.932074	25.16622	1.429966	1.224161
ENSDARG00000090228	42.854784	23.147444	2.040685	3.34543	1.244551	1.856096	4.028899	1.954944
ENSDARG00000090230	0.0	0.0	0.0	0.490471	0.0	0.0	0.0	0.0
ENSDARG00000090232	15.281816	0.0	38.154643	39.969499	36.955191	32.751403	44.873086	43.09795
ENSDARG00000090234	0.0	0.0	80.161352	65.417606	38.841931	34.309739	61.398511	82.092512
ENSDARG00000090237	0.0	156.529797	37.929676	48.051739	52.709313	62.376459	70.043903	64.003323
ENSDARG00000090253	0.0	0.0	0.0	0.432359	0.303634	0.315982	3.230655	1.554985
ENSDARG00000090255	0.0	0.0	2.525627	2.252078	1.891873	2.144927	0.99154	1.856718
ENSDARG00000090267	0.0	0.0	0.0	0.0	0.0	1.020823	0.0	0.0
ENSDARG00000090268	0.0	53.771548	0.193143	0.2366	0.17366	0.332472	0.321305	0.613928
ENSDARG00000090277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090286	0.0	0.0	0.484165	0.0	0.0	0.203231	0.205865	0.0
ENSDARG00000090292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090301	1.599632	0.0	26.149793	25.515894	23.121985	21.753518	2.095227	3.217299
ENSDARG00000090304	0.0	0.0	3.064119	3.154569	2.864558	4.067643	0.31774	0.390209
ENSDARG00000090309	24.736246	0.0	30.963395	34.681332	29.898406	36.944885	12.450176	10.226326
ENSDARG00000090310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090319	0.0	0.0	6.531086	6.152856	11.08938	6.512525	0.207824	0.0
ENSDARG00000090326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090337	50.177266	73.556114	245.469676	245.757	252.096547	257.15965	8.943768	10.145342
ENSDARG00000090338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090340	0.0	0.0	0.956194	0.757892	1.445398	1.713933	0.055252	0.0
ENSDARG00000090344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090346	0.0	0.0	9.699805	10.519587	6.779555	5.504415	1.279706	1.517426
ENSDARG00000090347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090352	0.0	0.0	0.0	0.461356	0.47714	1.098687	0.58292	0.0
ENSDARG00000090355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090366	0.0	0.0	6.895919	5.378947	4.32195	5.926725	0.631504	0.7363
ENSDARG00000090367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090369	0.0	0.0	1.039851	1.162166	0.62922	0.686178	0.679279	0.262784
ENSDARG00000090371	0.0	0.0	0.0	0.076141	0.0	0.0	0.0	0.0
ENSDARG00000090372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090380	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090381	0.0	0.0	0.090153	0.104152	0.077425	0.230813	0.076103	0.0
ENSDARG00000090386	42.928781	42.97956	25.069894	31.449528	21.868844	20.3515	33.403898	30.437159
ENSDARG00000090387	0.0	0.0	0.421793	0.0	0.0	0.35916	0.0	0.0
ENSDARG00000090389	0.0	0.0	54.359194	43.953695	42.596627	42.759796	3.469411	4.910356
ENSDARG00000090392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090396	0.0	0.0	0.0	0.0	0.0	0.0	0.292103	0.0
ENSDARG00000090398	0.0	0.0	4.568985	4.342013	2.801006	3.784308	1.060443	0.662289
ENSDARG00000090401	12.341235	32.976694	13.39234	15.168355	19.403691	19.430159	9.67674	9.923754
ENSDARG00000090408	0.0	0.0	8.831027	8.684156	7.711785	7.931497	1.294955	0.79936
ENSDARG00000090416	0.0	0.919324	0.0	0.0	0.0	0.0	0.224316	0.0
ENSDARG00000090418	0.0	0.0	2.859881	2.885037	1.752583	2.247865	0.722128	1.162379
ENSDARG00000090421	0.0	0.0	3.413339	2.836276	2.723425	2.769925	0.113555	0.143074
ENSDARG00000090427	0.0	0.0	1.240668	3.82291	2.860501	3.197089	1.009797	0.0
ENSDARG00000090428	0.0	0.0	0.434735	0.0	0.771123	0.368442	0.364583	0.0
ENSDARG00000090429	0.0	0.0	0.0	0.166525	0.0	0.0	0.0	0.0
ENSDARG00000090444	79.901168	89.245971	27.224296	27.300199	46.88565	42.186688	3.188744	1.573167
ENSDARG00000090447	0.0	0.0	121.95481	116.266527	89.526915	81.483318	57.78882	64.37298
ENSDARG00000090449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090454	9.3201	9.765848	102.808128	102.460299	85.927975	95.647602	91.059376	89.762255
ENSDARG00000090457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
